Tue Aug  1 23:17:21 2017 us=537294 Current Parameter Settings:
Tue Aug  1 23:17:21 2017 us=537419   config = 'server.conf'
Tue Aug  1 23:17:21 2017 us=537439   mode = 1
Tue Aug  1 23:17:21 2017 us=537482   persist_config = DISABLED
Tue Aug  1 23:17:21 2017 us=537504   persist_mode = 1
Tue Aug  1 23:17:21 2017 us=537519   show_ciphers = DISABLED
Tue Aug  1 23:17:21 2017 us=537529   show_digests = DISABLED
Tue Aug  1 23:17:21 2017 us=537537   show_engines = DISABLED
Tue Aug  1 23:17:21 2017 us=537546   genkey = DISABLED
Tue Aug  1 23:17:21 2017 us=537554   key_pass_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537563   show_tls_ciphers = DISABLED
Tue Aug  1 23:17:21 2017 us=537572   connect_retry_max = 0
Tue Aug  1 23:17:21 2017 us=537580 Connection profiles [0]:
Tue Aug  1 23:17:21 2017 us=537599   proto = tcp-server
Tue Aug  1 23:17:21 2017 us=537610   local = '45.62.97.54'
Tue Aug  1 23:17:21 2017 us=537618   local_port = '1194'
Tue Aug  1 23:17:21 2017 us=537627   remote = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537635   remote_port = '1194'
Tue Aug  1 23:17:21 2017 us=537644   remote_float = DISABLED
Tue Aug  1 23:17:21 2017 us=537652   bind_defined = DISABLED
Tue Aug  1 23:17:21 2017 us=537660   bind_local = ENABLED
Tue Aug  1 23:17:21 2017 us=537668   bind_ipv6_only = DISABLED
Tue Aug  1 23:17:21 2017 us=537677   connect_retry_seconds = 5
Tue Aug  1 23:17:21 2017 us=537685   connect_timeout = 120
Tue Aug  1 23:17:21 2017 us=537694   socks_proxy_server = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537702   socks_proxy_port = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537710   tun_mtu = 1500
Tue Aug  1 23:17:21 2017 us=537719   tun_mtu_defined = ENABLED
Tue Aug  1 23:17:21 2017 us=537727   link_mtu = 1500
Tue Aug  1 23:17:21 2017 us=537735   link_mtu_defined = DISABLED
Tue Aug  1 23:17:21 2017 us=537744   tun_mtu_extra = 0
Tue Aug  1 23:17:21 2017 us=537752   tun_mtu_extra_defined = DISABLED
Tue Aug  1 23:17:21 2017 us=537761   mtu_discover_type = -1
Tue Aug  1 23:17:21 2017 us=537769   fragment = 0
Tue Aug  1 23:17:21 2017 us=537777   mssfix = 1450
Tue Aug  1 23:17:21 2017 us=537786   explicit_exit_notification = 0
Tue Aug  1 23:17:21 2017 us=537794 Connection profiles END
Tue Aug  1 23:17:21 2017 us=537803   remote_random = DISABLED
Tue Aug  1 23:17:21 2017 us=537811   ipchange = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537819   dev = 'tun'
Tue Aug  1 23:17:21 2017 us=537828   dev_type = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537836   dev_node = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537848   lladdr = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537867   topology = 1
Tue Aug  1 23:17:21 2017 us=537883   ifconfig_local = '10.8.0.1'
Tue Aug  1 23:17:21 2017 us=537895   ifconfig_remote_netmask = '10.8.0.2'
Tue Aug  1 23:17:21 2017 us=537904   ifconfig_noexec = DISABLED
Tue Aug  1 23:17:21 2017 us=537912   ifconfig_nowarn = DISABLED
Tue Aug  1 23:17:21 2017 us=537921   ifconfig_ipv6_local = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537934   ifconfig_ipv6_netbits = 0
Tue Aug  1 23:17:21 2017 us=537943   ifconfig_ipv6_remote = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=537952   shaper = 0
Tue Aug  1 23:17:21 2017 us=537961   mtu_test = 0
Tue Aug  1 23:17:21 2017 us=537969   mlock = DISABLED
Tue Aug  1 23:17:21 2017 us=537978   keepalive_ping = 10
Tue Aug  1 23:17:21 2017 us=537986   keepalive_timeout = 120
Tue Aug  1 23:17:21 2017 us=538005   inactivity_timeout = 0
Tue Aug  1 23:17:21 2017 us=538016   ping_send_timeout = 10
Tue Aug  1 23:17:21 2017 us=538025   ping_rec_timeout = 240
Tue Aug  1 23:17:21 2017 us=538033   ping_rec_timeout_action = 2
Tue Aug  1 23:17:21 2017 us=538042   ping_timer_remote = DISABLED
Tue Aug  1 23:17:21 2017 us=538050   remap_sigusr1 = 0
Tue Aug  1 23:17:21 2017 us=538059   persist_tun = ENABLED
Tue Aug  1 23:17:21 2017 us=538067   persist_local_ip = DISABLED
Tue Aug  1 23:17:21 2017 us=538076   persist_remote_ip = DISABLED
Tue Aug  1 23:17:21 2017 us=538099   persist_key = ENABLED
Tue Aug  1 23:17:21 2017 us=538113   passtos = DISABLED
Tue Aug  1 23:17:21 2017 us=538122   resolve_retry_seconds = 1000000000
Tue Aug  1 23:17:21 2017 us=538130   resolve_in_advance = DISABLED
Tue Aug  1 23:17:21 2017 us=538145   username = 'nobody'
